PR_ms,QRS_ms,QT_ms,QTc_ms,n_beats
157.33333333333334,150.0,350.0,317.4166666666667,7.583333333333333
100.0,160.0,360.0,248.75,6.75
142.83333333333334,160.0,362.5,513.8,4.0
68.41666666666667,133.0,333.0,340.6363636363636,13.75
111.16666666666667,133.0,325.5833333333333,287.90909090909093,7.75
118.5,133.0,333.0,312.9166666666667,11.583333333333334
100.83333333333333,133.0,333.0,317.90909090909093,13.083333333333334
145.08333333333334,114.0,314.0,293.5833333333333,9.75
141.0,158.75,358.75,516.1666666666666,4.916666666666667
134.5,150.0,350.0,296.3333333333333,6.916666666666667
108.33333333333333,160.0,360.0,232.83333333333334,6.0
118.33333333333333,160.0,357.0833333333333,494.27272727272725,4.0
121.91666666666667,150.0,350.0,231.75,7.583333333333333
114.0,133.0,333.0,191.0,5.583333333333333
101.08333333333333,150.0,350.0,242.41666666666666,7.083333333333333
83.33333333333333,150.0,350.0,384.6363636363636,16.833333333333332
104.16666666666667,150.0,350.0,353.1666666666667,10.0
144.58333333333334,160.0,357.0833333333333,517.0,4.416666666666667
141.75,150.0,350.0,326.3333333333333,7.75
85.0,160.0,360.0,309.4166666666667,9.833333333333334
95.33333333333333,160.0,360.0,474.8181818181818,3.4166666666666665
